,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
1081,1928.24,1976.880094,1985.231226,2638690,3068878,33.75715128,37.4309416,33.6667002,2017.0695,2025.6275,-29.01120585,-26.83959571,-0.292408352,-0.213630968
1181,2150.48,2145.178696,2139.389517,4129638,3623397,59.90297044,54.97298937,57.455064,2134.847,2130.826,14.715631,12.98612432,0.185862427,0.169689582
252,2019.34,2024.749124,2016.217818,4019629,3654387,61.80951544,62.11168327,60.81341608,2009.1455,2006.1685,31.14917812,29.17019265,0.181247189,0.194708071
1171,2157.16,2139.49127,2130.411552,3230240,3555871,66.16391803,66.23240048,64.9115483,2093.114,2086.43,21.23236186,18.05559987,0.166089909,0.140495827
426,1562.92,1544.659292,1552.363579,3041429,3197027,27.39656192,29.08834103,24.00592925,1602.21,1613.2605,-63.90304993,-64.44841338,-0.06790217,-0.061864777
2101,2119.96,2069.757073,2060.431978,6488463,5618064,79.61220872,77.4407673,75.3119721,2047.5355,2043.445,24.76250243,21.96306818,0.144156682,0.117315507
290,1897.13,1895.260853,1892.292154,2358512,2609770,50.89245029,50.608047,52.50274623,1899.644,1897.2025,-7.164691535,-9.090834629,-0.02441927,0.004504228
1309,1940.55,1920.992327,1911.250622,4489194,4080221,67.70181867,66.63021786,65.95146373,1878.7375,1872.597,26.37418711,23.30103169,0.242357968,0.203088135
191,1853.07,1921.134091,1935.508333,3896230,3737683,46.29108714,57.89005823,54.20624663,1921.117,1918.5695,34.38972313,43.64297051,0.237800101,0.295364996
1180,2171.23,2139.389517,2138.133855,3623397,3739140,54.97298937,57.455064,52.48147631,2130.826,2126.367,12.98612432,13.25637398,0.169689582,0.172589393
1037,2037.53,2011.195301,2005.214257,3353521,3704504,72.03234206,71.85023353,68.7348018,1973.3805,1967.774,30.07492366,29.14620177,0.350815578,0.410410827
1431,1769.31,1811.919104,1815.916683,4906214,5021281,40.96665234,39.74914191,46.37324151,1828.631,1829.825,-15.40784252,-14.51505262,0.047191652,-0.020770277
955,1729.76,1759.035035,1764.42282,3462779,4017052,43.43014871,51.15770267,53.62933794,1766.8025,1768.7365,3.523845694,6.338373433,0.104732457,0.182769727
1242,1898.32,1818.029777,1813.507505,3551823,3491225,53.95240815,50.34628574,56.63464518,1771.181,1769.2895,9.064677267,7.224664902,0.033102172,-0.00718139
1379,1944.93,1973.058454,1978.118111,4680230,4926883,38.56344298,42.70333779,38.84974511,1981.17,1983.5095,-11.25684181,-9.625025285,-0.054710509,-0.072060657
1232,1766.44,1736.356438,1731.153424,3347317,3526251,48.05784809,43.18875885,38.44273113,1768.04,1768.387,-36.66670361,-41.49887833,0.021734104,0.002642105
1816,1946.36,1927.907571,1925.158143,2165905,1878572,50.68886835,46.37656008,49.03091431,1931.671,1932.321,-9.16795925,-11.12910742,0.082679301,0.09011992
321,1696.24,1667.1849,1661.054877,4855155,5039463,48.64063548,48.96711307,39.76842496,1662.384,1664.993,-33.4940408,-38.8353709,0.141833544,0.066658009
269,1859.79,1869.228051,1872.316507,2909189,3266721,41.64483936,28.71880703,30.72221172,1949.284,1959.6635,-43.54374197,-44.41231897,0.030670828,0.016231904
2498,1987.95,1980.260513,1979.547293,2313682,2235130,45.88131369,39.965931,42.05609692,1989.5185,1992.2035,-13.94929456,-15.19230422,-0.117101576,-0.130743933
519,1023.2,1043.178603,1039.747181,6273382,5552468,46.68899832,48.50511118,47.12724893,1070.422,1073.945,-38.22046689,-42.60299827,0.047928965,0.093910379
459,1404.38,1458.258423,1465.331406,3728560,3671031,29.36798144,29.42941096,23.00892276,1509.7365,1517.3505,-41.84308808,-41.10231549,-0.12901916,-0.104451327
2261,1974.4,2006.16822,2008.856713,3658702,6313154,46.91609723,50.62629526,54.47404272,1999.1935,2001.9605,-0.084367686,1.118530481,-0.195858772,-0.178326888
786,1655.54,1644.739028,1644.852146,2885568,2640136,55.93763651,56.94515384,57.2175977,1621.8615,1620.6025,14.51173997,15.42760823,0.245375419,0.237285418
1643,1989.57,1987.574373,1984.579789,3975056,4356867,61.10935581,60.83411795,61.30057534,1975.316,1973.124,11.49346825,10.79149968,-0.119120375,-0.087985047
2059,1945.7,1946.499082,1948.863323,3292026,3101815,48.65282342,53.57174471,57.71580744,1936.1795,1935.2435,6.269474969,7.737643847,-0.017739083,0.045111029
1063,2069.73,2098.775677,2096.754717,4129553,3588574,61.80508024,64.73781005,63.71909073,2092.704,2089.8605,21.49378201,22.05885525,0.182427405,0.208633621
2150,2090.26,2066.294205,2062.124029,5759122,4007539,54.4772912,54.67314223,53.23488109,2064.547,2065.8385,-7.563427802,-10.0969451,-0.08791474,-0.18130685
427,1561.23,1547.97942,1544.659292,2960531,3041429,40.14176055,27.39656192,29.08834103,1594.5765,1602.21,-58.52519481,-63.90304993,-0.065535778,-0.06790217
129,1559.86,1540.391311,1537.522713,2743360,3159706,66.77889071,63.78159986,63.91716577,1524.4725,1519.995,23.86399705,24.11694192,0.252165114,0.271909721
1119,2216,2152.813031,2142.811483,3908123,4159798,71.56096381,71.78655634,68.06989444,2125.6335,2118.4445,37.93149234,35.69612252,0.326552255,0.356008524
1124,2228.96,2185.298547,2183.729335,3641214,3548498,65.1639772,70.91022504,70.66233844,2154.7385,2151.171,39.95355564,41.80000626,0.138189504,0.19959351
430,1597.93,1570.316016,1557.910686,3476919,3516446,52.23728269,46.18281445,39.90091327,1576.2185,1580.7945,-38.4336962,-47.01329168,-0.007367333,-0.093629748
482,1241.47,1378.676919,1397.296235,4518061,4314641,30.26611689,28.67885539,36.05964319,1426.6585,1434.639,-39.4542506,-33.10150362,0.108872122,0.102057046
